text,binary,multiclass
"[🔐]   Ya me hicieron sentir mal, no me toquen, los odio a todos, ojalá los maten.",Hope,Unrealistic Hope
"#USER# Como tu dices, compresión de lectura, y Salas no toma decisiones solo, acá es un CT, incluido los PF, AT, PA y doctores, no creo pueda separar a salas por que no es una Isla y para mi el CT esta haciendo bien las cosas",Not Hope,Not Hope
"Nuestro Señor Jesús dice: ""Descansa ahora entregándome tu corazón, tu único amor, el amor de tu Salvador, un amor que sólo debe bastarte a lo largo de tu vida en tu deseo de amarme.""",Hope,Generalized Hope
#USER# pueden contestar DM? Otra vez me dejaron esperando ayer. Sigo sin tener Internet,Not Hope,Not Hope
"Babeamos con Ceballos el 85% de los béticos, todos deseando que el año que viene venga gratis... Entra al campo y le pitamos como si se nos fuese la vida... Así le damos más razones para que renueve o no se venga.. y después insultamos porque no se ha venido 😂",Hope,Unrealistic Hope
"#USER# Es horrible esos pensamientos y momentos, no se lo desearía a nadie",Not Hope,Not Hope
"Así como cuando sientes algo como anhelar, desear, necesitar, pero se siente intenso… y quieres suplir eso lo antes posible… bueno, así!",Hope,Generalized Hope
¿Ni siquiera dejar entrar a gente blanca? Puedo imaginar por qué tu profesor sugirió que te bajaras un poco a la realidad.,Not Hope,Sarcasm
"#USER# Ojalá , así podamos dejar años de sequía en el pasado",Hope,Realistic Hope
RT #USER# 🔴 AHORA | Motochorros asesinan a un hombre para robarle una cadena de oro en Estación Central  https://t.co/BDUTdFZR27,Not Hope,Not Hope
"hermanas chilenas, si hacen funa a la productora que llevo a lauren a chile, pasen hashtag y nos sumamos todos. esto que pasó es inaceptable y nadie se lo desearía a alguien. tienen nuestro apoyo!",Not Hope,Not Hope
"#USER# Feliz para ti mi querida doc. Con ese rojo encendió cualquiera se detiene, como si fuera un semáforo deseando que no cambie nunca aunque te harten a bocinasos.👌😋🍷😍",Hope,Unrealistic Hope
Acabo de despertar del sueño más lampara de mi vida,Not Hope,Not Hope
"mi reina, le rezo al Universo todos los días con que le agarre la demencia y venga para Arg 🙏🏻🙏🏻 #URL#",Hope,Unrealistic Hope
"#USER# Estamos esperando que la #USER# vaya a allanar la sede. Pueden llevar un rollo de papel, por si se cagan de miedo.",Hope,Realistic Hope
"#USER# #USER# #USER# #USER# #USER# #USER# Estamos deseando escuchar la explicación de #USER# en en pleno, que queda grabado #nocanton #fiscalia #defensordelpueblo #URL#",Hope,Generalized Hope
"#USER# #USER# #USER# #USER# Querida amiga: la obra de nuestro comandante Chávez sigue en el tiempo, hay un pueblo con esperanza de que esa obra se concrete, a pesar de las terribles Sanciones.",Hope,Realistic Hope
"#USER# Reza y pídele a Dios que te ilumine y que te ayude a entender que sin Su ayuda tú solo no puedes, entrégate a Él y sométete a Su Voluntad, dale las riendas.  No lo ves entre tinieblas, pero hay Esperanza, ve a la parroquia más cercana y pide guía espiritual.  Dios te ama.",Hope,Generalized Hope
⁦@_anapastor_⁩ mercenaria y sicaria de la dictadura comunista de ⁦@sanchezcastejon⁩ ojalá pagues todo el daño que has hecho a la sociedad española. #URL#,Hope,Realistic Hope
Con ese sueño que tuve anoche me levante fue emocionadaaaaaa🤣🤣,Hope,Generalized Hope
"RT #USER# Cuánto dolor dejaste, May. Ojalá estés en un lugar más bonito y feliz.",Hope,Generalized Hope
"#USER# Highlights?  Esos weyes viven en una cueva... si ha sido de los mejores 4 x 4 vs aczino.. que no lo vean para ""evitarse spoilers"" ya es diferente.. pero son extranjeros,  no te puedes esperar mucho de ellos.",Not Hope,Not Hope
#USER# ojalá lleguéis a la final y así os voy a ver al hall este de teleco,Hope,Generalized Hope
"#USER# y mira lo de tini si me dicen toda la teoría la re creo, pq parece re lagarta.",Not Hope,Not Hope
"#USER# Te la han “clavado” listillo. Dedícate a rezar, al cilicio y a procrear como buen opusino. La ciencia déjala para los científicos. Di no al intrusismo.",Not Hope,Not Hope
#USER# #USER# #USER# POR QUÉ LO CALIFICA DE #DISIDENTEpolitico…? LEO IZA ES UN #ACTORpolitico DE GRAN PROYECCIÓN ASÍ NO SEA DE NUESTRO AGRADÓ   CUALQUIER ACARTONADO DEL GOBIERNO DESEARÍA TENER UN POQUITO DEL TEMPLE DEL DIRIGENTE INDÍGENA PARA DESAFIAR AL GOBERNANTE Y ABANDONARLO EN SU MISERIA.,Not Hope,Not Hope
Yo creo que debe ser como el velcro. Un lado rasposo y su contrario suave. Se puede pegar y despegar,Not Hope,Not Hope
"Solo quería recordar que este título es una obra de arte y desearía que tuviera incluso una mayor repercusión.  Sé que son malas fechas, y que el mes de febrero ha sido apoteósico en cuanto a lanzamientos, pero #OctopathTravelerII merece la misma repercusión que el resto. #URL#",Not Hope,Not Hope
"#USER# Ojalá gane la presidencia el 2024 alguien que se atreva a meter al bote al kks, a todo su séquito de ratas y también a ustedes sus mamawebo",Not Hope,Not Hope
#USER# Relax platanito que yo nunca desearia un mal a Xbox.,Not Hope,Not Hope
"#USER# Hijole, creo que ratas, como tales Carlos salinas De Gortari, Zedillo y hasta Calderón, ratas, pero penllejos la disputa entre Peña y Fox…de decantaría por peña como títere, botas miradas ahora senil, pero más jalado a las ratas.",Not Hope,Not Hope
saben lo q ansio q el clima este asi y no q hagan 60 grados a la sombra #URL#,Hope,Realistic Hope
"#USER# Linda, gracias nuevamente. Te deseo una bonita noche, dulces sueños y un gran descanso...🤗✨",Hope,Generalized Hope
"❤️🇨🇴 Dueles Patria Querida…!#ElCambioFueUnaTrampa #DesastreTotal #DespeloteTotal #PetroTotal  #PazTotal  #Total…..Para que….!  “Si la Confianza es Prueba de Ternura, Está Prueba de Amor daros ansío, Aunque esté Sumida en la Amargura, SAGRADO CORAZÓN DE JESÚS EN VIS CONFÍO” #URL# #URL#",Not Hope,Not Hope
"Papa Francisco: !Rezo por las numerosas víctimas del naufragio de Cutro, en Crotone. Renuevo a todos mi llamamiento para que no se repitan tragedias similares. ¡Que se detenga a los traficantes de seres humanos, que no sigan disponiendo de la vida de tantos inocentes!",Not Hope,Not Hope
"#USER# #USER# Lo unico que verdaderamente ansío es que Scaloni reciba el premio a Mejor Entrenador por delante del tano anciano de Real Madrid No solo se lo merece por todo lo que se bancó desde 2019, sino tambien porque creo que es lo que realmente le romperia la psiquis a los RM's",Not Hope,Not Hope
"Rins se presenta: ""Mi sueño actual es ser campeón"" #MotoGP #Moto #Racing | Marca #URL#",Hope,Realistic Hope
Holi ya estoy en casa ambas cosas han ido bien ahora a rezar tres padres nuestros para que no me salga algo raro en las analíticas. 😎 #URL#,Not Hope,Not Hope
#USER# 👍🏼 Ojalá pronto les llegue el calor acá sin las 9:11 am,Hope,Realistic Hope
🚨 Mbbape Ya Piensa En El Balón De Oro 2023🔥  Video: https://t.co/hX7oeWELup #URL#,Not Hope,Not Hope
"#USER# Ah, no... claro... Bobby era el bueno, no había necesidad, pero si me parecía un buen reemplazo. En fin... Creo que se nos viene otra temporada complicada :/",Hope,Generalized Hope
#USER# Si eso es verdad ella solo es su Novia no puedo entorpecer el juicio mejor que espere hey si alguien lq tiene arrobenla para que pare de dar notificaciones del caso .,Not Hope,Not Hope
#USER# los dueños creo que son evangelistas y bueno les pintó compartirlo ajjajaaj,Not Hope,Not Hope
#USER# Ojalá fueran iguales con todas pero es tal el adoctrinamiento q las mueve q sería como pedirle peras al olmo. Inconsecuentes!!,Hope,Unrealistic Hope
#USER# si ojalá que si pero ahora q lo pienso en casi cualquier evento autogestivo está todo medio atado con alambre me re preocupa que se vuelva así de peligroso tocar 🫤,Hope,Generalized Hope
#USER# #USER# Una vez más el oro. Históricamente murió muchísima gente por esto. Es el show preparado por Bolivia y sus socios para apoderarse del área... Y con colaboracion de caviares terrucos y comunistas que con el cuento de reivindicación popular enganan y matan  muchísima gente,Not Hope,Not Hope
"QUE LINDO COMO LAS COMUNIDADES SE LLEVAN BIEN LOCO, OJALA SEHUIR VIENDO ESTO 😭💖",Hope,Realistic Hope
¿Alguna vez os conté cuando me metí dentro de una iglesia en Cuenca donde están las monjas de clausura “las esclavas de cristo” que no salen a la calle y van tapadas enteras y me metí mientras rezaban y me quedé dormida escuchándolas rezar en voz baja. #asmr y vino una a echarme?,Not Hope,Not Hope
Bad gyal debería de sacar la bzrp session antes de sacar el álbum para k este en el punto de mira y así poder hacer más números y k la conozca más gente así k a rezar para k ocurra,Hope,Generalized Hope
"#USER# En el mio no, al único  apodado chino que conocí era profesor de matemáticas en bachiller, en el barrio quinquis cero eran los 70 había dictadura ,en los 80 me casé,me compré un VPO de 90 m por menos de 30.000, ojalá volvieran aquellos quinquis.",Hope,Unrealistic Hope
RT #USER# Esperé todo este tiempo hasta Min March para subirla 🥰💜#ARMYSelcaDay #ARSD #URL#,Not Hope,Not Hope
"#USER# Se quedará a rezar, en la congregación por las mujeres, bebés en los vientres, por la paz mundial, gracias hermanos",Not Hope,Not Hope
Muy en el fondo todavía deseo que las cosas hayan sido distintas😔,Hope,Unrealistic Hope
"#USER# Buenas noches, deseo dar de baja el cargo recurrente a mi TC de mi servicio, cual es el procedimiento? Trato de hacerlo desde la pagina web y no me lo permite. Ya les escribi en privado pero el bot virtual no me ayuda en nada",Not Hope,Not Hope
"Mientras que el exgobernador #USER# manifestó que ""a pesar de las diferencias, deseo que vuelva pronto a su curul"". #URL#",Hope,Realistic Hope
#USER# dicen que una oferta de arabia le tienes mucho ojalá se pire porque es la única forma de fichar a un delantero bueno,Hope,Realistic Hope
"Ojalá un concierto de Jeckie Venson, y si es en un local de 100 personas mejor.",Hope,Realistic Hope
"#USER# Sabiendo de lo que venimos, se pueden esperar muy grandes cosas del título",Hope,Generalized Hope
"Buenos días y #FelizMartes! 😃  Menudo sueño me he echado está noche, aún así me da tiempo a aprovechar la mañana en casa y luego de tarde de curro que se supone será más relajada y a la noche vicio intentando llegar al Reactor Mako N°5. #FFVIIRemake  Que tengáis un gran día! 😉",Hope,Generalized Hope
"¡Se siente como 10 grados!! ¡Guau, atrápame en South Parks absorbiendo los rayos del sol! ���� https://t.co/EpgwTLgICW",Hope,Sarcasm
#USER# Deseando volver a verte por Cánovas. Un beso enorme y más grande de mi padre 😘😘😘😘,Hope,Generalized Hope
#USER# Ojalá tuviera la dicha y la fortuna de encontrarme acá en Barcelona con él 💜💜,Hope,Unrealistic Hope
"Bueno, no lo hicieron. Es una declaración encantadora, pero llega un poco tarde. ¿Quizás quieran luchar por una mejor educación sexual?",Not Hope,Sarcasm
#USER# A mí tb me está gustando mucho más de lo que me esperaba. Lo de Bella Ramsey es otro rollo... Este último capi te vuela la puta cabeza. Deseando ver el final de temporada! #URL#,Hope,Generalized Hope
"#Destacado #Pastoral #Marzo🌸  REZAR EN CUARESMA Descubre este precioso libro que te acompañará en el camino de #Cuaresma. Dedica un momento diario a la Palabra, la reflexión y la oración, en el tiempo de buscar y acoger el perdón de Dios. 👣 https://t.co/72OrfORMnF #URL#",Not Hope,Not Hope
"#USER# ""He esperado por este momento, siempre lo esperé"" #URL#",Hope,Generalized Hope
"hacia el lado, esperando, deseando de verdad el verla sonreír.",Hope,Generalized Hope
#USER# #USER# #USER# #USER# No se lava xq el huevo en la cascara tiene como una pelicula protectora y cuando lo lavas esa pelicula se rompe y toda la caca puede penetrar el huevo x dentro. O algo asi tengo entendido jajajaja no soy una experta ahre,Not Hope,Not Hope
"#USER# Por todos los cielos!!!  Mucho éxito en tu entrevista, ""Gaby Meza con Z"". Ansío verla en tu canal.  Saludos.",Hope,Generalized Hope
¿¿¿Estás hablando en serio??? ¡Su avatar no es precisamente más extraño que el tuyo!,Not Hope,Sarcasm
"#USER# #USER# #USER# Espero q cuando se le metan a la casa de sus padres tres personas con machetes y los asesinen junto con niñ@s NO ESPERE QUE LA POLICIA LOS ARRESTEN NI HAYA JUSTICIA! Su mensaje de odio, ignorancia, polarización SOCIAL, dizque ''uribista'' ilustra SU INCOHERENCIA y lo anterior.",Hope,Realistic Hope
"Comenzamos nueva semana con la alegría de todo lo vivido, compartido y sentido durante las jornadas #IECA2023 deseando que cada uno siga contagiando las ganas por cambiar y transformar el día a día de nuestro alumnado. #FormacProfAnd #USER# #URL#",Hope,Generalized Hope
#USER# Camila9009  Ojalá se Romina pero la producción ya decidió,Hope,Generalized Hope
"hagan por mi familia y por mi querida madre. Adiós querido amigo de la vida. Que siempre este adelante el club para nosotros anhelo yo doy mi sangre por todos mis compañeros…Ahora y siempre el club gigante. Viva el club Nacional!""... #URL#",Hope,Generalized Hope
Es más estoy viendo curro Jiménez y cosiendo...yo creo que ya con eso...,Not Hope,Not Hope
"¿Así que ""El origen de las especies"" tiene más información para los evolucionistas teístas que la Biblia?? ¿Acaso la evolución teísta cree en Satanás?",Not Hope,Sarcasm
RT #USER# Aviso a navegantes… paciencia… que vale la pena esperar por esos manuales #USER# #USER#,Not Hope,Not Hope
Primer día del calendario escolar y llueve. Coincidencia? No creo.,Not Hope,Not Hope
Aquí esperando a que me digan si me mandan un ordenador nuevo... #URL#,Hope,Realistic Hope
"#USER# Anhelo verte un día para romperte tu PM, degenerado de mer da",Hope,Generalized Hope
"lo que anhelo estar en una universidad que tenga materias promocionales, TODAS A FINALES TIENE LA HIJA DE PUTA #URL#",Hope,Unrealistic Hope
Aún guardo la esperanza que alguien me invite a ver el musical de #MaestraVida 🙏🏾,Hope,Realistic Hope
Me sorprende cuanto tiempo mantuve esperanza con lo de nosotros.,Hope,Generalized Hope
"#seguridadsocial Campaña para erradicar el tabaquismo, después 15 días esperando y dos citas, la doctora dice que no hay pastillas... Solo puede recetar chicle o parches y por supuesto pago yo",Not Hope,Not Hope
Desearía tener el valor de poder hacer lo qué pasa por mi cabeza en estos momentos.,Hope,Generalized Hope
"#USER# Creo que es la banda sonora de mi vida, pude imaginar momentos cotidianos pero felices, trajo calma… es muy linda 💖",Hope,Generalized Hope
"#USER# ni me preguntó que es ser hincha de un equipo pequeño que tuvo que esperar como 50 años para ganar tres torneos seguidos. Son tan 🤏 que tienen que estar pendiente del más grande #USER# clubes como el DT no tienen nada lindo en la historia, salvó dos títulos, 1 al A/Nal",Not Hope,Not Hope
Creo q el único colegio que no se puede tomar mates es el de la dulce,Not Hope,Not Hope
"#USER# #6Mar ""Que nadie se entristezca, no hay espacio para la tristeza. Somos la alegría, Somos la esperanza. quién dijo que este camino iba a ser fácil.  Pensamiento de nuestro Comandante supremo Hugo Chávez Frías.  #SomosLosDeChávez Auxiliarpaclachiri #URL#",Hope,Generalized Hope
Ojalá mi mamá consiga el relajante muscular para yo inyectarme a ver si se me termina de quita por completo el dolor de espalda y cuello. 😕,Hope,Realistic Hope
"Habiendo tenido tus derechos pisoteados por tanto tiempo, esperaría recibir una recepción más cálida del grupo a favor del matrimonio gay. ¡Siento tu dolor! ¡El concepto de amor y matrimonio de otras personas me está siendo impuesto!",Not Hope,Sarcasm
#USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# Ayyyy gracias Alberto. me fue bien gracias a Dios  Solo estoy deseando a que me llamen del trabajo 🙏❤️,Hope,Generalized Hope
"EL NACIMIENTO DE LOS TEMPLARIOS:    Durante el reinado de Balduino II, un francés vino de Roma para rezar en Jerusalén. Había hecho el voto de no volver nunca más a su país, y de hacerse monje, después de haber ayudado al rey en la guerra durante tres… #URL#",Not Hope,Not Hope
"¡Buen día! ☀️   Bendecido inicio de semana para las y los Guaymenses, deseando excelentes ventas para mis amigos y compañeros comerciantes.  #Guaymas #URL#",Hope,Generalized Hope
"#USER# Leo, vos tenés que tener una fotito de el al lado de la cama, y agradecerle, porque te mantiene pese a tu vergonzosa gestión, ya desde que salto el temita de los cabildantes, tendrías que estar fuera. Así que vamos leo, besito a la foto y rezo, todas las mañanas.",Not Hope,Not Hope
"Pues nada, finalmente el trismus es tan exagerado, que el miércoles me infiltrarán toxina botulínica a ver si mejora… espero que si, que estoy deseando poder comerme una hamburguesa 🤤",Hope,Realistic Hope
no se pero gavi te rezo la puta madre NO PUEDES SER TAN GUAPO 😩😩😩😩😩😩😩😩 #URL#,Hope,Unrealistic Hope
#USER# este será uno de los jueves que más esperé en la vida xdXdXDd,Not Hope,Not Hope
"#USER# Estoy a punto de acabar los estudios de modelado 3D y me he puesto triste al leer el tweet y las respuestas... Por curiosidad, has mirado como está el tema fuera de España? Mucho ánimo y ojalá salga algo! 🤞",Hope,Generalized Hope
Nunca le desearía el mal de tener a Petro al pueblo del El salvador. Ya lo han pasado muy mal en el pasado. PERO SI ME GUSTARÍA QUE BUKELE fuese Presidente de Colombia. #URL#,Hope,Unrealistic Hope
"Veo a muchos por aquí peleando que si por Claudia, Ebrard, Adán, Monreal; se dan hasta con la cubeta, les recuerdo que #USER# fue quien le devolvió la dignidad a México y la esperanza de un mejor futuro, así que relajen su prisa y dejen de parecer como los Prianiastas.",Hope,Generalized Hope
Todos los días rezo para que no se me crucen más hombres pelotudos en el camino! Por favor Dios que Ald* haya sido el último 🙏🏽,Hope,Unrealistic Hope
"#USER# #USER# #USER# A ese SMG le rezo todas las noches, EL MEJOR",Hope,Generalized Hope
RT #USER# a veces anhelo tanto no llegar a mi casa,Not Hope,Not Hope
"¿Entonces tu respuesta a la pregunta es ""Nada"", Marc?",Not Hope,Sarcasm
Ansío el regreso del otoño  casi con la misma intensidad que anhelo la recuperación de mi poder adquisitivo.,Hope,Realistic Hope
Esto se suele llamar: 'hablar por los dos lados de la boca'.,Not Hope,Sarcasm
"Estoy deseando ver si Axel torres, uno de a sueldo de Nobita diría lo mismo si el gol lo mete pedri o de jong",Hope,Realistic Hope
Rezo para que no me toque en el práctico de sanna el check list de convulsión,Not Hope,Not Hope
No se uds pero yo estoy que le rezo a #USER# 🙌🏻  Me presto para hacer un diccionario de sus frases icónicas 😌 . . #LIDLT6 #LaIslaDeLasTentaciones6,Not Hope,Not Hope
Se va a hablar mucho y bien de 'Ronson' y creo que tanto el autor como su obra lo merecen con creces. Dejo una mención especial a #USER# que ha ejercido de estupendo representante y comercial del autor y esta obra entre sus amigos. Gracias a los dos :),Hope,Generalized Hope
"Recuerdo que cuando fui docente en un colegio en Soacha en 2012, obligaban a los estudiantes a rezar un padre nuestro todos los lunes en la mañana.  Pero no tenían cátedra de educación sexual y las estudiantes no confiaban en las profesoras.  Inútiles ""buenas costumbres"".",Not Hope,Not Hope
#USER# #USER# Ansío el día que vuelva la buena Mina 🥺,Not Hope,Not Hope
"Mi única felicidad son ellas #USER# deseando que llegue el próximo partido, así me toque verlo en diferido por culpa del trabajo #URL#",Not Hope,Not Hope
ahora mismo desearía ser la ica #USER# y dormir 17h diarias😔,Not Hope,Not Hope
El sueño de todas las fans de las Nucera se hizo realidadddddddd 😍😍😍♥️♥️♥️♥️♥️ #URL#,Hope,Generalized Hope
"Los amo, pero no nos hacen nada bien. Cuanto deseo poder comprarme una casa, terminar mi carrera y llevarme a mis estrellitas a vivir conmigo. ¿Conmigo estarían bien?",Not Hope,Not Hope
"#USER# #USER# A mí salía algo parecido, esperé un poco y lo intenté de nuevo.",Not Hope,Not Hope
"Voy a dar mi impopular opinión y es que aunque sí, que decirle que cambie el nombre no estuvo bien, pero no creo que la hayan obligado, bien pudo ignorar a la otra autora y no re organizar su historia cuando nadie la iba a acusar de plagio #URL#",Not Hope,Not Hope
Que la vida siempre me cruce con #USER# . No puedo estar tan enamorada de mi amiga. Ojalá o vida te devuelva todo lo hermoso que das ♥️🫶🏻🥺,Hope,Generalized Hope
#USER# Tú siendo panista.   Dices que a la mujer se le respeta?  Creo que el chiste se cuenta solo,Not Hope,Not Hope
"#USER# No soy de rezar. Pero haré una excepción. “Señor, dios o como te llames, dale vidilla un rato más a Pedrito que a cambio perderemos de vista al lacayo negrero”. Ya sabes,  no hay mal que por bien no venga.",Not Hope,Not Hope
#USER# Lo que estoy deseando es adaptarme y apuntarme al gimnasio... 😭😭😭😭😭😭,Hope,Realistic Hope
No importa cuanto perdón pidas ahora yo ya te perdoné hace rato  y te deseo mucho amor porque sé cuanto te hace mucha falta❤ #URL#,Hope,Generalized Hope
"#USER# #USER# de verdad que rezo por que se vaya, algún día nos da un chungo",Hope,Generalized Hope
#USER# Rezo por ver algo así en Brave and the Bold. 🤞,Hope,Generalized Hope
"#USER# #USER# Eso no es un sueño, es una pesadilla",Not Hope,Not Hope
"#USER# Yo creo que bajar a segunda, tal y como estamos, supone desaparecer",Not Hope,Not Hope
#LaIslaDeLasTentaciones7  Naomi deseando ver lo mínimo de Adrián para tener la excusa de tirarse al italiano...menuda pájara,Not Hope,Not Hope
"No le desearía eso ni a mi peor enemigo, fuerzas mostro #URL#",Not Hope,Not Hope
"Vivamos en la paciencia del Señor, esperando la venida de nuestro único y suficiente Señor y Salvador quien es Jesús❤. ¡¡CRISTO VIVE!!, ¡¡CRISTO VIENE!! EL FIN SE ACERCA.",Hope,Generalized Hope
#USER# Aquí en la Mora y Piedra azul seguimos esperando la segunda fase de alumbrado público de sus calles #USER# #USER#,Hope,Realistic Hope
#USER# Una señora muy valiente!  Con ciudadanos  como ella todavía hay esperanza para Puno y para el Perú. Ojalá nuestros políticos y autoridades tuvieran el coraje de esta señora y lo utilizaran para hacer cumplir la ley y restaurar el orden,Hope,Realistic Hope
✅ Melgar consiguió que le entreguen el DNI a Bernardo Cuesta antes de lo previsto. Toca rezar para que se agilice trámite de inscripción #URL#,Not Hope,Not Hope
estoy así esperando que hoseok haga el on the street challenge con con seventino #URL#,Not Hope,Not Hope
Rezo para que la Mickey Mouse caiga de plancha #ConexiónHonduras1,Hope,Unrealistic Hope
"#USER# Sin ser yo muy de este señor, he visto pasar hoy un retrato por mi timeline y he soltado un ¡hostia! ¿eso es del Greco?  Deseando ver por dónde nos llevarás con tu encuesta.",Not Hope,Not Hope
"Oh claro, ahora intentas tomar el camino moral. Pero, ¿te has olvidado de los etiquetas que colocaste tan libremente sobre nosotros como seguidores de McStain, como has decidido llamarlo? ¿Te suena el término ""hacer un Kronus""? Porque tú lo defines con publicaciones como esta, mientras ahora intentas deshacerte de esas ofensivas etiquetas como esta: (franja radical religiosa de ultraderecha) http://www.4forums.com/political/sho...ain#post322462. Y esta otra: http://www.4forums.com/political/sho...t321807emoticonxgood",Not Hope,Sarcasm
"Morir parece demasiado fácil, aún conservo el anhelo de encontrar otra forma",Hope,Unrealistic Hope
"Siempre serán mis 6 estrellas más brillantes, son mi apoyo y quien logra darme fuerza en mis momentos más débiles. Desearía haberte encontrado antes. Me han regalado 2 años de recuerdos especiales que siempre guardaré en mi 💜.  Aquí seguiré apoyando a cada uno siempre #아스트로 #URL#",Hope,Generalized Hope
"Hoy es cumpleaños de una de mis hermanas, y desearía mucho estar en casa.",Hope,Unrealistic Hope
"#USER# Por supuesto que volverá, deseando se pueda poner en marcha y cualquiera de los proyectos que tiene entre manos cuadren y empecemos a ver de nuevo su trabajo. El éxito, más que asegurado si hablamos de él. Que tengas hermoso día Mon 😘😘 #KeremBürsin",Hope,Generalized Hope
"#USER# #USER# Yo soy un amorcito, ni esperé que me diga Mariel, le dije amiga otro día",Not Hope,Not Hope
neta rezo para q mi foto de perfil no se vuelva real!!😭😭🙏,Hope,Unrealistic Hope
#USER# Espero que también se puedan juntar las escaleras. Creo que en LS2 se podía hacer eso para que se vean más grandes y elegantes 😀,Hope,Realistic Hope
"Solo diré que mi 2023 ha ido mal, ojalá todo mejore 😞",Hope,Generalized Hope
"#USER# ─Para Yasemin, la fecha de San Valentín siempre ha sido sinónimo de amor bonito, amor duradero, ya que es en esta fecha que sus padres celebran el día en que se volvieron novios, así que verlos a ellos siempre enamorados y muy felices por la fecha le hizo anhelar »",Hope,Generalized Hope
#USER# #USER#  con ese me pongo a rezar y me echo en el suelo a esperar mi muerte,Not Hope,Not Hope
"Rezo por el Camino de Los Llanos desde la Parroquia de Nuestra Señora de la Asunción, hasta el Santuario del Rocío. Misa prevista a las 14.30 horas. #URL#",Not Hope,Not Hope
Ojala nunca te traten a vos Florcita como ustedes tratan a los medios partidarios de Huracán... Siempre demostramos q somos mas gente q ustedes #URL#,Hope,Unrealistic Hope
"Que bien que Namjoon haya pasado unas bonitas canciones familiares en España, ojalá habérmelo cruzado 💜",Hope,Unrealistic Hope
"#USER# ...pero la vida no terminará con ellos. Llegarán los días verdes y los amarillos, aquellos en los que disfrutamos del camino. Solo el día negro nos ayudará a ver con anhelo, aquellos días grises.",Hope,Generalized Hope
#USER# #USER# Siga llorando bobo. Y espere sentado a los arrepentidos!,Not Hope,Not Hope
Mi sueño es que en la mitaf de Believer Dan Reynolds diga “we have a little something for ya” y sale lil wayne pa rapear su verso. No va a pasar pero taria lindoo,Not Hope,Not Hope
GONZA TE REZO CHABON ME SACA TODAS LAS DUDAS DE ENCIMA CAPO,Hope,Generalized Hope
#USER# por donde la hacen? Estoy deseando apoyar a las pocas artistas emergentes catalanas y catolicas que quedan en este país,Hope,Realistic Hope
"#USER# #USER# #USER# #USER# nea, es muy diferente un sueño que uno tiene desde muy niño, hablar con un artista que uno escuchaba desde que tocaba comer pan con agua, y ver que todo lo que sufrió antes tiene su recompensa, y una de ellas es conocer a arcángel que indirectamente fue parte de su proceso",Not Hope,Not Hope
"me encanta taeil en la era de superhuman, de sus mejores eras dios yo le rezo a este hombre 🛐 #URL#",Not Hope,Not Hope
"#USER# Si saben dónde vive no está prófugo, está a derecho, tienen que hacer las cosas bien, pedir su extradición por vía judicial,esperar la resolución del país que lo aloja y listo. No ocurre?,será que no tienen elementos para el pedido o tiene fueros por ser del parlasur?.",Not Hope,Not Hope
#Tendencias | La «hormona afrodisíaca» que podría reavivar el deseo sexual en hombres y mujeres.-  ⬇ #URL#,Not Hope,Not Hope
"#USER# Hey! Hey! Todo pasa, lo bueno, lo malo… todo… fluye y disfruta, sonríele a ese reto y gánale CARAJO! Eres más que tus sensaciones y problemas! YO CREO EN TI! Te quiero 😘",Hope,Generalized Hope
#USER# Creo que como es propiedad del ejército es más complicado el invertir y comprar esa propiedad,Not Hope,Not Hope
"A alguien más le pasó que el mes de febrero le salió una cuenta descomunal de #USER# ? Me salió 108 cuando lo máximo que he pagado son 18 y no tengo fugas ni nada… estoy indignada, media hora esperando o más para que atienda 😡 #sanpedrodelapaz",Not Hope,Not Hope
"#USER# #USER# Así es, el día de mañana cerramos con broche de oro el inicio del primer split, que estará que arde. 🥵",Not Hope,Not Hope
when you say familia te referís a hermana no? porque nada jaja vos sabes q siempre voy a respetar tus decisiones y ojalá puedas sentirte siempre cómodo con nosotros y *namjoonista muere de un tiro en la sien* #URL#,Hope,Generalized Hope
RT #USER# #USER# Creo que debería prohibirse la auténtica y dejar la fake al ser más coherente,Not Hope,Not Hope
"
Claro, así que si en mi examen de matemáticas pongo ""La respuesta es 7 porque mi dios lo dice"" y el profesor me la marca mal, ¿él es el XXXXX?",Not Hope,Sarcasm
Libros abiertos si ser leídos teléfonos bloqueados que muchos anhelar ver buscando dolor sin tragedia y un parche sin tener yaga,Not Hope,Not Hope
"Oficialmente soy la vieja con más sueño de todo Bogotá, que gonorrrea.",Not Hope,Not Hope
"De verdad ya 5 años creo y ha sido la mejor amistad que he tenido, 🥺🤍 te quiero muchooo #USER#",Hope,Generalized Hope
#USER# Lo único que no tiene explicación es lo que hicieron en cuatro meses de mercado de pases..ahora no queda otra que rezar,Not Hope,Not Hope
"a quien recibe para validar la información ¿entonces para qué piden datos? Esta empresa nos está causando un perjuicio muy grande, en un principio lo único que respondían que había que esperar de 24 a 72 horas hábiles, nos cansamos y pusimos la reclamación y ahora que 15 días",Not Hope,Not Hope
No soy creyente pero a ese culito yoo le rezo,Not Hope,Not Hope
Anhelo y espero ansiosamente el día en el cual al fin podré ver todo mi cuerpo empapado de mi propia sangre y en dónde mi vista se vaya nublando velozmente para poder así tener paz.,Hope,Unrealistic Hope
